CPUDT,CPUDT
20220219,1066
20220220,1006
20220221,3644
20220222,3719
20220223,4162
20220224,4518
20220225,7772
20220226,5391
20220227,7017
20220228,23581
20220301,66050
20220302,26167
20220303,11146
20220304,6089
20220305,1020
20220306,658
20220307,4028
20220308,2851
20220309,3191
20220310,3661
20220311,2825
20220312,2043
20220313,571
20220314,3134
20220315,3714
20220316,5461
20220317,3315
20220318,3434
20220319,1311
20220320,428
20220321,2902
20220322,2664
20220323,5622
20220324,6579
20220325,3831
20220326,1958
20220327,423
20220328,55131
20220329,8236
20220330,6475
20220331,8084
20220401,10579
20220402,2842
20220403,8159
20220404,20016
20220405,45359
20220406,7899
20220407,5026
20220408,3805
20220409,805
20220410,430
20220411,546
20220412,4885
20220413,3921
20220414,4868
20220415,3893
20220416,7869
20220417,584
20220418,4465
20220419,4433
20220420,12199
20220421,9730
20220422,11570
20220423,9248
20220424,530
20220425,25296
20220426,13430
20220427,12410
20220428,9944
20220429,58844
20220430,4099
20220501,2771
20220502,860
20220503,3501
20220504,19234
20220505,14288
20220506,14078
20220507,6390
20220508,2517
20220509,4716
20220510,4658
20220511,4902
20220512,5085
20220513,5093
20220514,3579
20220515,2223
20220516,4386
20220517,6924
20220518,8192
20220519,5418
20220520,5185
20220521,12352
20220522,742
20220523,8447
20220524,8085
20220525,31317
20220526,30740
20220527,8246
20220528,21667
20220529,14260
20220530,11214
20220531,67307
20220601,16310
20220602,14280
20220603,17819
20220604,5918
20220605,3555
20220606,4797
20220607,8707
20220608,6170
20220609,8426
20220610,5151
20220611,1373
20220612,1401
20220613,5041
20220614,8586
20220615,6941
20220616,6931
20220617,7902
20220618,3817
20220619,1026
20220620,9326
20220621,8630
20220622,17524
20220623,5557
20220624,3890
20220625,1057
20220626,625
20220627,9948
20220628,83692
20220629,18051
20220630,37700
20220701,17811
20220702,13876
20220703,3364
20220704,30525
20220705,6597
20220706,5210
20220707,7723
20220708,14539
20220709,1174
20220710,827
20220711,7849
20220712,7193
20220713,5829
20220714,5448
20220715,3929
20220716,4774
20220717,754
20220718,5950
20220719,11755
20220720,54376
20220721,10394
20220722,4720
20220723,1311
20220724,17197
20220725,6186
20220726,6425
20220727,28737
20220728,6922
20220729,11143
20220730,17379
20220731,2100
20220801,12214
20220802,18145
20220803,25611
20220804,5739
20220805,6441
20220806,1362
20220807,1172
20220808,4582
20220809,5621
20220810,4744
20220811,6459
20220812,5395
20220813,3700
20220814,744
20220815,6573
20220816,8997
20220817,4287
20220818,8658
20220819,59382
20220820,2777
20220821,1483
20220822,5678
20220823,10238
20220824,19008
20220825,17189
20220826,11257
20220827,5959
20220828,684
20220829,6245
20220830,9598
20220831,21579
20220901,5776
20220902,759
20220903,903
20220904,1536
20220905,9109
20220906,24673
20220907,22010
20220908,10765
20220909,4752
20220910,3863
20220911,878
20220912,3828
20220913,8576
20220914,7411
20220915,4583
20220916,14118
20220917,1969
20220918,861
20220919,4465
20220920,5643
20220921,11293
20220922,9287
20220923,4806
20220924,73907
20220925,596
20220926,4663
20220927,15619
20220928,5449
20220929,29870
20220930,9154
20221001,4442
20221002,3370
20221003,22992
20221004,14789
20221005,20219
20221006,25499
20221007,5577
20221008,4503
20221009,830
20221010,8304
20221011,6368
20221012,16334
20221013,7412
20221014,6937
20221015,1533
20221016,1625
20221017,7067
20221018,64016
20221019,15161
20221020,4101
20221021,8661
20221022,5181
20221023,3683
20221024,6338
20221025,30814
20221026,7684
20221027,5675
20221028,10274
20221029,2333
20221030,933
20221031,23648
20221101,15807
20221102,12739
20221103,24290
20221104,21357
20221105,4683
20221106,2322
20221107,5936
20221108,4489
20221109,5851
20221110,4402
20221111,8034
20221112,2663
20221113,640
20221114,9599
20221115,60777
20221116,6154
20221117,6285
20221118,5382
20221119,3515
20221120,2230
20221121,8176
20221122,9985
20221123,8828
20221124,17196
20221125,20357
20221126,3936
20221127,546
20221128,18296
20221129,20504
20221130,12787
20221201,14372
20221202,17788
20221203,42942
20221204,3541
20221205,83849
20221206,11774
20221207,9641
20221208,6150
20221209,8599
20221210,1906
20221211,1292
20221212,12085
20221213,17750
20221214,11514
20221215,6439
20221216,8307
20221217,6125
20221218,1781
20221219,10709
20221220,9754
20221221,7332
20221222,6047
20221223,7257
20221224,19498
20221225,2797
20221226,14804
20221227,14018
20221228,20434
20221229,15848
20221230,19213
20221231,35473
20230101,3374
20230102,12186
20230103,34593
20230104,22616
20230105,24725
20230106,6008
20230107,5363
20230108,1167
20230109,15113
20230110,13705
20230111,7086
20230112,13222
20230113,7524
20230114,8951
20230115,1942
20230116,13868
20230117,9055
20230118,10056
20230119,1856
20230120,10132
20230121,883
20230122,2181
20230123,293
20230124,193
20230125,250
20230126,384
20230127,866
20230128,1317
20230129,5122
20230130,70675
20230131,21933
20230201,21302
20230202,10930
20230203,13475
20230204,3704
20230205,2922
20230206,13979
20230207,16221
20230208,6968
20230209,6300
20230210,4536
20230211,4619
20230212,1540
20230213,4791
20230214,3578
20230215,3936
20230216,5912
20230217,8475
20230218,1468
20230219,704
20230220,14896
20230221,18145
20230222,17609
20230223,8888
20230224,12379
20230225,67836
20230226,1555
20230227,24286
20230228,12321
20230301,12742
20230302,22205
20230303,23463
20230304,7135
20230305,1071
20230306,18164
20230307,6612
20230308,4345
20230309,9832
20230310,7067
20230311,4811
20230312,870
20230313,5281
20230314,4629
20230315,6939
20230316,5008
20230317,8230
20230318,2349
20230319,956
20230320,70144
20230321,5090
20230322,10699
20230323,19373
20230324,16418
20230325,14807
20230326,496
20230327,6767
20230328,11894
20230329,21314
20230330,15530
20230331,9380
20230401,8860
20230402,2291
20230403,26442
20230404,14070
20230405,16521
20230406,40729
20230407,7515
20230408,4802
20230409,941
20230410,4538
20230411,8428
20230412,7693
20230413,5735
20230414,8225
20230415,1948
20230416,762
20230417,6323
20230418,5454
20230419,8636
20230420,9172
20230421,9004
20230422,8262
20230423,1062
20230424,80614
20230425,23764
20230426,16582
20230427,27758
20230428,8183
20230429,1188
20230430,948
20230501,1797
20230502,642
20230503,1867
20230504,26487
20230505,17161
20230506,14315
20230507,12660
20230508,16815
20230509,8568
20230510,5495
20230511,5556
20230512,8763
20230513,1720
20230514,981
20230515,9820
20230516,8065
20230517,7175
20230518,6036
20230519,19217
20230520,16827
20230521,1290
20230522,85115
20230523,14241
20230524,23281
20230525,16134
20230526,18908
20230527,2252
20230528,1389
20230529,6324
20230530,14278
20230531,13342
20230601,33034
20230602,18817
20230603,17137
20230604,3600
20230605,12820
20230606,6367
20230607,7095
20230608,6598
20230609,7365
20230610,2585
20230611,2471
20230612,6206
20230613,8289
20230614,7956
20230615,10861
20230616,7391
20230617,4918
20230618,1169
20230619,7444
20230620,6543
20230621,6749
20230622,5132
20230623,5446
20230624,6306
20230625,1104
20230626,90966
20230627,17613
20230628,5319
20230629,17697
20230630,20380
20230701,23117
20230702,4341
20230703,15805
20230704,27600
20230705,23082
20230706,5836
20230707,7731
20230708,3357
20230709,1623
20230710,22766
20230711,5478
20230712,7893
20230713,5836
20230714,7783
20230715,4550
20230716,1831
20230717,4893
20230718,5764
20230719,4624
20230720,5964
20230721,5271
20230722,6000
20230723,1822
20230724,6839
20230725,10315
20230726,14217
